City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
9,Bambous Virieux,MU,70.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
10,Katsuura,JP,87.24,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
15,Banda Aceh,ID,84.4,broken clouds,5.5577,95.3222,Sulthan Hotel International
20,Lampazos De Naranjo,MX,89.24,broken clouds,27.0167,-100.5167,Bella Vista
22,Rikitea,PF,73.35,broken clouds,-23.1203,-134.9692,People ThankYou
24,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Boma,GH,70.95,broken clouds,7.0805,-2.1697,Obaatanpa Hotel
30,Itarema,BR,77.88,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
35,Puerto Penasco,MX,75.9,broken clouds,31.3167,-113.5333,Playa Bonita Resort
39,Meulaboh,ID,82.17,broken clouds,4.1363,96.1285,Kost Pria
45,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
46,Hithadhoo,MV,82.78,broken clouds,-0.6,73.0833,Scoop Guest House
47,Georgetown,MY,87.89,broken clouds,5.4112,100.3354,Cititel Penang
52,Erenhot,CN,71.37,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
53,Jamestown,US,71.24,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
54,Andros Town,BS,78.76,broken clouds,24.7,-77.7667,Hanks place
55,Kaohsiung,TW,88.03,broken clouds,22.6163,120.3133,御宿商旅-中山館
58,Grand Gaube,MU,70.2,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
60,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
61,Olga,RU,72.46,broken clouds,43.7444,135.2892,Gostinitsa Rosmorport.
62,Poquoson,US,82.09,broken clouds,37.1224,-76.3458,Whitehouse Cove
63,Pandan,PH,85.5,broken clouds,14.0453,124.1694,Bonifacio Lodge
64,Lamu,KE,75.65,broken clouds,-2.2717,40.902,Lamu House
66,Arenal,CO,73.81,broken clouds,8.4593,-73.9433,Hotel Azteca
70,Samarai,PG,81.39,broken clouds,-10.6167,150.6667,Nuli Sapi
73,Pangkalanbuun,ID,88.97,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
79,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
93,Arraial Do Cabo,BR,73.2,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
95,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
96,Butaritari,KI,82.33,broken clouds,3.0707,172.7902,Isles Sunset Lodge
97,Puyang,CN,83.93,broken clouds,29.4603,119.8861,Xianhua Sandalwood Celebrity Hotel
99,Ipixuna,BR,75.15,broken clouds,-1.7625,-48.8043,Casa da Oscarina
101,Ha Tinh,VN,84.74,broken clouds,18.3333,105.9,Phú Quý
104,Marsh Harbour,BS,78.67,broken clouds,26.5412,-77.0636,Abaco Beach Resort
106,Am Timan,TD,79.57,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
107,Marmaris,TR,73.11,broken clouds,36.855,28.2742,Hawaii Hotel
108,Victoria,HK,88.97,broken clouds,22.2855,114.1577,Mini Hotel Central
109,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Poutur Pousada
113,Hilo,US,81.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
115,Trinidad,BO,71.15,broken clouds,-14.8333,-64.9,Hotel Piesta
118,Mnogovershinnyy,RU,78.89,broken clouds,53.9353,139.9242,Kvartsevaya Sopka
119,Coahuayana,MX,80.6,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
121,Atuona,PF,80.11,broken clouds,-9.8,-139.0333,Villa Enata
122,Kiunga,PG,74.03,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
126,Lufilufi,WS,87.58,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
127,Bengkulu,ID,81.95,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
128,Marawi,PH,82.35,broken clouds,7.9986,124.2928,Derogongan Residence
132,Baracoa,CU,77.2,broken clouds,20.3467,-74.4958,Hostal Rio Miel
135,Noshiro,JP,70.74,broken clouds,40.2039,140.0242,Azuma Ryokan
136,Saint George,US,88.27,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
137,Saquarema,BR,73.42,broken clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
139,Porto Novo,BJ,78.31,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
143,Corinto,GR,72.68,broken clouds,37.9407,22.9573,Ephira Hotel
144,Altamira,BR,72.36,broken clouds,-3.2033,-52.2064,Requinte Hotel
146,Pemangkat,ID,83.5,broken clouds,1.1667,108.9667,Ramah Kost KITA
148,Kavieng,PG,83.41,broken clouds,-2.5744,150.7967,Nusa Island Retreat
149,San Patricio,US,82.89,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
150,Bethel,US,73.08,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
151,San Miguelito,PA,79.56,broken clouds,9.0333,-79.5,Conferencista Jose Pepe Quijada
155,Kavaratti,IN,83.55,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
156,Katiola,CI,71.91,broken clouds,8.1333,-5.1,Auberge Residence Yebin
159,Funadhoo,MV,82.94,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
160,Puerto Ayora,EC,73.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
161,Najran,SA,81.25,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
162,Chiang Khong,TH,77.32,broken clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
168,Porto Walter,BR,71.65,broken clouds,-8.2686,-72.7439,Secretaria de saúde
171,Arlit,NE,86.52,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
174,Sao Joao Da Barra,BR,73.08,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
175,Kashi,CN,76.21,broken clouds,39.4547,75.9797,帕米尔青年旅舍
