City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,49.66,46,40,14.97,broken clouds
1,Te Anau,NZ,-45.4167,167.7167,54.01,78,96,1.05,broken clouds
2,Dikson,RU,73.5069,80.5464,31.68,94,98,15.46,broken clouds
3,Vaini,TO,-21.2,-175.2,71.76,88,75,12.66,broken clouds
4,Gualeguay,AR,-33.1416,-59.3097,54.54,93,51,5.7,broken clouds
5,Nikolskoye,RU,59.7035,30.7861,58.8,65,98,3.02,broken clouds
6,Ahipara,NZ,-35.1667,173.1667,65.77,73,26,6.76,broken clouds
7,Barrow,US,71.2906,-156.7887,34.2,85,100,15.68,broken clouds
8,Cidreira,BR,-30.1811,-50.2056,62.42,92,100,15.73,broken clouds
9,Bambous Virieux,MU,-20.3428,57.7575,70.05,88,75,16.28,broken clouds
10,Katsuura,JP,35.1333,140.3,87.24,63,0,14.5,broken clouds
11,Saint-Philippe,RE,-21.3585,55.7679,67.55,79,43,13.94,broken clouds
12,Grindavik,IS,63.8424,-22.4338,49.55,87,90,15.86,broken clouds
13,Saint-Joseph,RE,-21.3667,55.6167,66.56,79,19,14.61,broken clouds
14,Qaanaaq,GL,77.484,-69.3632,39.09,69,97,6.55,broken clouds
15,Banda Aceh,ID,5.5577,95.3222,84.4,65,100,11.3,broken clouds
16,Chenzhou,CN,25.8,113.0333,90.3,55,68,4.21,broken clouds
17,Punta Arenas,CL,-53.15,-70.9167,41.11,81,20,36.35,broken clouds
18,Kodiak,US,57.79,-152.4072,49.51,81,90,18.41,broken clouds
19,Kvarkeno,RU,52.0833,59.725,61.72,68,90,14.72,broken clouds
20,Lampazos De Naranjo,MX,27.0167,-100.5167,89.24,50,2,14.9,broken clouds
21,Pontalina,BR,-17.525,-49.4472,68.31,53,2,3.69,broken clouds
22,Rikitea,PF,-23.1203,-134.9692,73.35,90,98,14.12,broken clouds
23,Albany,US,42.6001,-73.9662,72.27,94,100,2.06,broken clouds
24,Kapaa,US,22.0752,-159.319,84.18,73,12,5.01,broken clouds
25,Boma,GH,7.0805,-2.1697,70.95,99,100,2.15,broken clouds
26,Ponta Delgada,PT,37.7333,-25.6667,66.92,94,75,5.75,broken clouds
27,Hermanus,ZA,-34.4187,19.2345,57.9,77,3,3.13,broken clouds
28,Torbay,CA,47.6666,-52.7314,51.76,83,20,8.05,broken clouds
29,Kanlagay,PH,5.8757,121.2915,84.61,68,100,4.41,broken clouds
30,Itarema,BR,-2.9248,-39.9167,77.88,84,43,9.08,broken clouds
31,Geraldton,AU,-28.7667,114.6,65.12,72,75,27.85,broken clouds
32,Bakel,SN,14.905,-12.4568,92.89,35,65,10.42,broken clouds
33,Yumen,CN,40.2833,97.2,76.08,21,39,8.03,broken clouds
34,Esperance,AU,-33.8667,121.9,55.24,58,100,21.83,broken clouds
35,Puerto Penasco,MX,31.3167,-113.5333,75.9,76,90,4.0,broken clouds
36,Nome,US,64.5011,-165.4064,42.17,81,90,14.97,broken clouds
37,Qandala,SO,11.472,49.8728,88.97,59,1,2.84,broken clouds
38,La Ronge,CA,55.1001,-105.2842,59.25,63,75,6.91,broken clouds
39,Meulaboh,ID,4.1363,96.1285,82.17,71,100,2.84,broken clouds
40,Eureka,US,40.8021,-124.1637,60.75,69,0,4.0,broken clouds
41,Saskylakh,RU,71.9167,114.0833,40.26,56,100,11.25,broken clouds
42,Lata,PT,40.1629,-8.3327,54.05,91,5,2.64,broken clouds
43,Cherskiy,RU,68.75,161.3,39.33,67,100,10.16,broken clouds
44,Chapais,CA,49.7834,-74.8492,58.78,65,12,6.06,broken clouds
45,Mahebourg,MU,-20.4081,57.7,70.09,88,75,6.91,broken clouds
46,Hithadhoo,MV,-0.6,73.0833,82.78,72,11,6.44,broken clouds
47,Georgetown,MY,5.4112,100.3354,87.89,72,20,0.0,broken clouds
48,Ilulissat,GL,69.2167,-51.1,37.8,72,1,2.64,broken clouds
49,Strezhevoy,RU,60.7333,77.5889,46.38,50,95,10.6,broken clouds
50,Asau,RO,46.4333,26.4,58.39,82,0,5.35,broken clouds
51,Hobart,AU,-42.8794,147.3294,52.02,88,75,5.01,broken clouds
52,Erenhot,CN,43.6475,111.9767,71.37,22,12,17.27,broken clouds
53,Jamestown,US,42.097,-79.2353,71.24,87,1,1.99,broken clouds
54,Andros Town,BS,24.7,-77.7667,78.76,76,29,16.22,broken clouds
55,Kaohsiung,TW,22.6163,120.3133,88.03,71,75,4.0,broken clouds
56,Cabo San Lucas,MX,22.8909,-109.9124,91.81,56,2,11.03,broken clouds
57,Busselton,AU,-33.65,115.3333,52.74,87,100,23.04,broken clouds
58,Grand Gaube,MU,-20.0064,57.6608,70.2,74,16,5.99,broken clouds
