City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2021-06-04 21:00:08,73.5069,80.5464,29.46,97,100,14.92
1,Port Alfred,ZA,2021-06-04 21:00:10,-33.5906,26.891,54.91,66,0,8.1
2,Polson,US,2021-06-04 21:00:10,47.6936,-114.1632,85.26,38,11,5.01
3,Rikitea,PF,2021-06-04 21:00:10,-23.1203,-134.9692,73.85,82,67,11.81
4,Novaya Bryan,RU,2021-06-04 21:00:11,51.7159,108.2691,48.97,52,7,2.84
5,Moerai,PF,2021-06-04 21:00:11,-22.4333,-151.3333,76.98,77,69,6.64
6,Chokurdakh,RU,2021-06-04 21:00:11,70.6333,147.9167,54.18,78,100,4.38
7,Airai,TL,2021-06-04 21:00:12,-8.9266,125.4092,57.38,91,62,3.0
8,Puerto Ayora,EC,2021-06-04 21:00:12,-0.7393,-90.3518,76.55,82,70,5.99
9,Hermanus,ZA,2021-06-04 21:00:13,-34.4187,19.2345,53.91,84,9,10.54
10,Umm Bab,QA,2021-06-04 21:00:13,25.2142,50.8072,87.89,53,0,8.25
11,Saint-Philippe,RE,2021-06-04 21:00:13,-21.3585,55.7679,72.95,83,41,11.45
12,Cape Town,ZA,2021-06-04 20:58:44,-33.9258,18.4232,57.61,82,0,1.99
13,Coihaique,CL,2021-06-04 21:00:14,-45.5752,-72.0662,39.2,90,64,7.87
14,San Andres,CO,2021-06-04 21:00:14,12.5847,-81.7006,82.78,74,81,14.97
15,Sechura,PE,2021-06-04 21:00:15,-5.5569,-80.8222,75.9,61,18,14.85
16,Lircay,PE,2021-06-04 21:00:15,-12.9896,-74.7205,55.42,60,85,6.64
17,Quelimane,MZ,2021-06-04 21:00:15,-17.8786,36.8883,67.5,73,85,7.2
18,Luganville,VU,2021-06-04 21:00:16,-15.5333,167.1667,77.43,80,99,6.08
19,Amberley,US,2021-06-04 21:00:16,39.2048,-84.428,86.99,49,38,1.01
20,Bambous Virieux,MU,2021-06-04 21:00:16,-20.3428,57.7575,72.21,83,95,18.3
21,Busselton,AU,2021-06-04 21:00:17,-33.65,115.3333,55.09,85,91,5.32
22,Buluang,PH,2021-06-04 21:00:17,13.3068,123.3425,79.63,89,100,2.55
23,Bluff,NZ,2021-06-04 21:00:17,-46.6,168.3333,49.8,79,100,14.23
24,Northam,GB,2021-06-04 21:00:18,51.0333,-4.2167,56.34,87,4,4.0
25,Kapaa,US,2021-06-04 21:00:18,22.0752,-159.319,78.78,82,41,1.99
26,Provideniya,RU,2021-06-04 21:00:19,64.3833,-173.3,37.74,63,49,6.11
27,Buraydah,SA,2021-06-04 21:00:19,26.326,43.975,94.5,11,4,10.69
28,Hobart,AU,2021-06-04 21:00:05,-42.8794,147.3294,46.92,72,75,5.99
29,Namibe,AO,2021-06-04 21:00:19,-15.1961,12.1522,70.79,68,1,5.26
30,Albany,US,2021-06-04 20:59:03,42.6001,-73.9662,82.58,56,100,4.07
31,Ushuaia,AR,2021-06-04 21:00:20,-54.8,-68.3,28.63,96,95,2.64
32,Georgetown,MY,2021-06-04 20:56:55,5.4112,100.3354,80.89,83,20,1.01
33,Volchanets,RU,2021-06-04 21:00:20,42.9131,132.7469,53.94,97,74,1.95
34,Mataura,NZ,2021-06-04 21:00:21,-46.1927,168.8643,49.48,80,100,7.18
35,Port Elizabeth,ZA,2021-06-04 21:00:21,-33.918,25.5701,48.09,71,0,5.03
36,Nikolskoye,RU,2021-06-04 21:00:21,59.7035,30.7861,60.69,72,4,2.55
37,Avarua,CK,2021-06-04 21:00:22,-21.2078,-159.775,78.85,73,90,14.97
38,Pafos,CY,2021-06-04 21:00:22,34.7667,32.4167,69.58,60,20,4.61
39,Henties Bay,NA,2021-06-04 21:00:23,-22.116,14.2845,68.86,52,0,9.26
40,Naze,JP,2021-06-04 21:00:23,28.3667,129.4833,72.01,92,100,6.11
